Time         Phi1         Phi2         Phi3         Phi4         
1.0000e-10   6.2831e-5    6.2831e-5    6.0127e-5    6.0097e-5    
2.9999e-10   1.8849e-4    1.8849e-4    1.7196e-4    1.7170e-4    
7.0000e-10   4.3982e-4    4.3982e-4    3.6581e-4    3.6447e-4    
1.5000e-9    9.4247e-4    9.4247e-4    6.5899e-4    6.5358e-4    
2.4999e-9    0.0015       0.0015       8.9785e-4    8.8474e-4    
3.5000e-9    0.0021       0.0021       0.0010       0.0010       
4.7499e-9    0.0029       0.0029       0.0011       0.0011       
6.3124e-9    0.0039       0.0039       0.0012       0.0011       
8.2656e-9    0.0051       0.0051       0.0012       0.0012       
1.0707e-8    0.0067       0.0067       0.0013       0.0012       
1.3758e-8    0.0086       0.0086       0.0013       0.0012       
1.6047e-8    0.0100       0.0100       0.0013       0.0012       
1.7192e-8    0.0108       0.0108       0.0014       0.0012       
1.9480e-8    0.0122       0.0122       0.0014       0.0012       
2.4058e-8    0.0151       0.0151       0.0014       0.0012       
3.0924e-8    0.0194       0.0194       0.0015       0.0012       
4.4657e-8    0.0280       0.0280       0.0017       0.0012       
7.2123e-8    0.0453       0.0453       0.0020       0.0011       
1.2705e-7    0.0798       0.0798       0.0027       0.0011       
2.3691e-7    0.1488       0.1488       0.0041       0.0011       
4.5664e-7    0.2868       0.2868       0.0072       0.0010       
5.9397e-7    0.3731       0.3731       0.0093       9.4977e-4    
7.3130e-7    0.4593       0.4593       0.0114       9.0434e-4    
8.6863e-7    0.5455       0.5455       0.0138       8.6446e-4    
1.0059e-6    0.6316       0.6316       0.0162       8.2956e-4    
1.1432e-6    0.7177       0.7177       0.0187       7.9884e-4    
1.2806e-6    0.8037       0.8037       0.0214       7.7190e-4    
1.5552e-6    0.9756       0.9756       0.0270       7.2706e-4    
1.8299e-6    1.1472       1.1472       0.0331       6.9208e-4    
2.1045e-6    1.3185       1.3185       0.0397       6.6458e-4    
2.3792e-6    1.4893       1.4893       0.0467       6.4268e-4    
2.7225e-6    1.7023       1.7023       0.0560       6.2110e-4    
3.0658e-6    1.9144       1.9144       0.0661       6.0408e-4    
3.4092e-6    2.1257       2.1257       0.0768       5.9034e-4    
3.7525e-6    2.3360       2.3359       0.0881       5.7870e-4    
4.0958e-6    2.5451       2.5451       0.1001       5.6862e-4    
4.3104e-6    2.6753       2.6753       0.1079       5.6273e-4    
4.5250e-6    2.8050       2.8049       0.1160       5.5731e-4    
4.7395e-6    2.9341       2.9341       0.1243       5.5191e-4    
4.9541e-6    3.0627       3.0627       0.1328       5.4684e-4    
5.1687e-6    3.1908       3.1908       0.1416       5.4170e-4    
5.5979e-6    3.4451       3.4451       0.1599       5.3191e-4    
6.0270e-6    3.6970       3.6970       0.1792       5.2181e-4    
6.4562e-6    3.9462       3.9461       0.1993       5.1197e-4    
6.8853e-6    4.1925       4.1924       0.2204       5.0160e-4    
7.3145e-6    4.4357       4.4357       0.2423       4.9134e-4    
7.7436e-6    4.6757       4.6757       0.2651       4.8047e-4    
8.1728e-6    4.9124       4.9123       0.2888       4.6964e-4    
8.4410e-6    5.0584       5.0584       0.3039       4.6239e-4    
8.7092e-6    5.2031       5.2031       0.3194       4.5548e-4    
8.9774e-6    5.3463       5.3462       0.3353       4.4800e-4    
9.2457e-6    5.4879       5.4879       0.3514       4.4085e-4    
9.5139e-6    5.6280       5.6280       0.3678       4.3314e-4    
9.7821e-6    5.7665       5.7665       0.3845       4.2574e-4    
1.0050e-5    5.9034       5.9033       0.4015       4.1781e-4    
1.0318e-5    6.0386       6.0385       0.4187       4.1017e-4    
1.0855e-5    6.3037       6.3037       0.4541       3.9409e-4    
1.1391e-5    6.5618       6.5617       0.4905       3.7770e-4    
1.1927e-5    6.8123       6.8123       0.5278       3.6079e-4    
1.2464e-5    7.0552       7.0551       0.5662       3.4359e-4    
1.3000e-5    7.2900       7.2899       0.6054       3.2592e-4    
1.3537e-5    7.5165       7.5165       0.6455       3.0799e-4    
1.4073e-5    7.7345       7.7344       0.6863       2.8964e-4    
1.4610e-5    7.9437       7.9436       0.7279       2.7106e-4    
1.4945e-5    8.0699       8.0698       0.7543       2.5914e-4    
1.5280e-5    8.1925       8.1924       0.7809       2.4738e-4    
1.5615e-5    8.3115       8.3114       0.8077       2.3525e-4    
1.5951e-5    8.4268       8.4267       0.8348       2.2328e-4    
1.6286e-5    8.5383       8.5382       0.8620       2.1097e-4    
1.6621e-5    8.6461       8.6460       0.8895       1.9880e-4    
1.6957e-5    8.7500       8.7499       0.9171       1.8632e-4    
1.7292e-5    8.8500       8.8499       0.9449       1.7399e-4    
1.7627e-5    8.9461       8.9460       0.9729       1.6137e-4    
1.7962e-5    9.0383       9.0382       1.0010       1.4889e-4    
1.8298e-5    9.1264       9.1263       1.0293       1.3615e-4    
1.8968e-5    9.2905       9.2904       1.0860       1.1090e-4    
1.9639e-5    9.4380       9.4379       1.1431       8.5068e-5    
2.0309e-5    9.5689       9.5688       1.2004       5.9523e-5    
2.0980e-5    9.6827       9.6826       1.2578       3.3484e-5    
2.1650e-5    9.7794       9.7792       1.3152       7.8155e-6    
2.2321e-5    9.8587       9.8585       1.3725       -1.8247e-5   
2.2992e-5    9.9205       9.9203       1.4295       -4.3859e-5   
2.3662e-5    9.9647       9.9645       1.4861       -6.9765e-5   
2.4333e-5    9.9912       9.9910       1.5422       -9.5137e-5   
2.4752e-5    9.9987       9.9986       1.5770       -1.1121e-4   
2.5171e-5    9.9994       9.9992       1.6115       -1.2681e-4   
2.5590e-5    9.9931       9.9929       1.6458       -1.4271e-4   
2.6009e-5    9.9798       9.9797       1.6797       -1.5811e-4   
2.6428e-5    9.9597       9.9595       1.7133       -1.7377e-4   
2.6847e-5    9.9326       9.9325       1.7465       -1.8894e-4   
2.7266e-5    9.8987       9.8985       1.7793       -2.0433e-4   
2.7685e-5    9.8579       9.8577       1.8117       -2.1922e-4   
2.8104e-5    9.8102       9.8101       1.8436       -2.3429e-4   
2.8524e-5    9.7558       9.7556       1.8751       -2.4885e-4   
2.9362e-5    9.6267       9.6265       1.9365       -2.7802e-4   
3.0200e-5    9.4708       9.4707       1.9958       -3.0587e-4   
3.1038e-5    9.2887       9.2886       2.0526       -3.3336e-4   
3.1876e-5    9.0809       9.0807       2.1069       -3.5939e-4   
3.2715e-5    8.8479       8.8477       2.1584       -3.8489e-4   
3.3134e-5    8.7221       8.7219       2.1831       -3.9668e-4   
3.3553e-5    8.5903       8.5901       2.2071       -4.0906e-4   
3.3972e-5    8.4525       8.4523       2.2303       -4.2028e-4   
3.4391e-5    8.3089       8.3087       2.2527       -4.3205e-4   
3.4810e-5    8.1595       8.1593       2.2742       -4.4268e-4   
3.5229e-5    8.0045       8.0043       2.2950       -4.5380e-4   
3.5648e-5    7.8439       7.8437       2.3149       -4.6381e-4   
3.6067e-5    7.6779       7.6777       2.3340       -4.7427e-4   
3.6486e-5    7.5065       7.5063       2.3522       -4.8363e-4   
3.6905e-5    7.3299       7.3298       2.3695       -4.9340e-4   
3.7325e-5    7.1483       7.1481       2.3859       -5.0208e-4   
3.7744e-5    6.9617       6.9615       2.4014       -5.1113e-4   
3.8372e-5    6.6728       6.6726       2.4229       -5.2324e-4   
3.8687e-5    6.5244       6.5242       2.4328       -5.2916e-4   
3.9001e-5    6.3735       6.3733       2.4422       -5.3478e-4   
3.9315e-5    6.2201       6.2199       2.4511       -5.4027e-4   
3.9630e-5    6.0642       6.0640       2.4594       -5.4546e-4   
3.9944e-5    5.9060       5.9058       2.4671       -5.5051e-4   
4.0258e-5    5.7455       5.7453       2.4743       -5.5527e-4   
4.0573e-5    5.5828       5.5826       2.4809       -5.5988e-4   
4.0887e-5    5.4178       5.4176       2.4870       -5.6419e-4   
4.1201e-5    5.2508       5.2506       2.4925       -5.6836e-4   
4.1516e-5    5.0817       5.0815       2.4974       -5.7222e-4   
4.1830e-5    4.9106       4.9104       2.5017       -5.7593e-4   
4.2144e-5    4.7376       4.7374       2.5055       -5.7935e-4   
4.2380e-5    4.6067       4.6065       2.5079       -5.8178e-4   
4.2616e-5    4.4747       4.4745       2.5100       -5.8409e-4   
4.2851e-5    4.3418       4.3416       2.5118       -5.8626e-4   
4.3087e-5    4.2079       4.2077       2.5132       -5.8830e-4   
4.3323e-5    4.0730       4.0728       2.5143       -5.9022e-4   
4.3559e-5    3.9373       3.9371       2.5151       -5.9200e-4   
4.3794e-5    3.8007       3.8005       2.5156       -5.9365e-4   
4.4030e-5    3.6633       3.6631       2.5157       -5.9516e-4   
4.4266e-5    3.5251       3.5249       2.5155       -5.9655e-4   
4.4443e-5    3.4209       3.4207       2.5151       -5.9748e-4   
4.4619e-5    3.3163       3.3161       2.5145       -5.9837e-4   
4.4796e-5    3.2113       3.2111       2.5137       -5.9915e-4   
4.4973e-5    3.1059       3.1057       2.5128       -5.9990e-4   
4.5150e-5    3.0001       3.0000       2.5117       -6.0053e-4   
4.5327e-5    2.8940       2.8938       2.5103       -6.0112e-4   
4.5459e-5    2.8141       2.8139       2.5092       -6.0148e-4   
4.5592e-5    2.7341       2.7339       2.5080       -6.0184e-4   
4.5724e-5    2.6538       2.6537       2.5067       -6.0211e-4   
4.5824e-5    2.5935       2.5934       2.5056       -6.0232e-4   
4.5923e-5    2.5331       2.5330       2.5045       -6.0248e-4   
4.6023e-5    2.4726       2.4725       2.5033       -6.0264e-4   
4.6122e-5    2.4120       2.4119       2.5020       -6.0279e-4   
4.6222e-5    2.3513       2.3512       2.5007       -6.0320e-4   
4.6321e-5    2.2906       2.2904       2.4993       -6.0627e-4   
4.6396e-5    2.2449       2.2448       2.4983       -6.2126e-4   
4.6452e-5    2.2107       2.2105       2.4974       -6.6818e-4   
4.6480e-5    2.1935       2.1934       2.4969       -7.2241e-4   
4.6501e-5    2.1806       2.1805       2.4964       -7.9660e-4   
4.6516e-5    2.1710       2.1708       2.4961       -8.7703e-4   
4.6532e-5    2.1613       2.1612       2.4957       -9.9560e-4   
4.6552e-5    2.1493       2.1491       2.4950       -0.0012      
4.6562e-5    2.1432       2.1431       2.4947       -0.0013      
4.6571e-5    2.1372       2.1371       2.4943       -0.0015      
4.6584e-5    2.1297       2.1295       2.4936       -0.0018      
4.6596e-5    2.1221       2.1220       2.4929       -0.0021      
4.6604e-5    2.1174       2.1172       2.4924       -0.0024      
4.6611e-5    2.1127       2.1125       2.4918       -0.0027      
4.6621e-5    2.1068       2.1066       2.4909       -0.0032      
4.6631e-5    2.1009       2.1007       2.4900       -0.0037      
4.6640e-5    2.0950       2.0948       2.4888       -0.0043      
4.6652e-5    2.0876       2.0875       2.4872       -0.0052      
4.6664e-5    2.0802       2.0801       2.4853       -0.0063      
4.6676e-5    2.0729       2.0727       2.4831       -0.0075      
4.6688e-5    2.0655       2.0653       2.4805       -0.0089      
4.6700e-5    2.0581       2.0579       2.4777       -0.0104      
4.6712e-5    2.0507       2.0506       2.4745       -0.0120      
4.6724e-5    2.0433       2.0432       2.4710       -0.0138      
4.6748e-5    2.0286       2.0284       2.4630       -0.0175      
4.6757e-5    2.0230       2.0229       2.4598       -0.0189      
4.6762e-5    2.0203       2.0201       2.4581       -0.0196      
4.6766e-5    2.0175       2.0173       2.4563       -0.0203      
4.6773e-5    2.0133       2.0132       2.4537       -0.0214      
4.6780e-5    2.0092       2.0090       2.4509       -0.0224      
4.6790e-5    2.0029       2.0028       2.4467       -0.0240      
4.6800e-5    1.9967       1.9966       2.4423       -0.0256      
4.6813e-5    1.9889       1.9888       2.4366       -0.0274      
4.6825e-5    1.9811       1.9810       2.4307       -0.0292      
4.6838e-5    1.9733       1.9732       2.4247       -0.0309      
4.6851e-5    1.9655       1.9654       2.4185       -0.0325      
4.6870e-5    1.9538       1.9537       2.4088       -0.0348      
4.6879e-5    1.9480       1.9478       2.4039       -0.0358      
4.6898e-5    1.9363       1.9361       2.3939       -0.0376      
4.6910e-5    1.9289       1.9288       2.3876       -0.0387      
4.6925e-5    1.9198       1.9196       2.3795       -0.0398      
4.6940e-5    1.9106       1.9105       2.3713       -0.0408      
4.6958e-5    1.8992       1.8991       2.3609       -0.0419      
4.6972e-5    1.8906       1.8905       2.3531       -0.0426      
4.7000e-5    1.8735       1.8733       2.3371       -0.0437      
4.7014e-5    1.8649       1.8647       2.3291       -0.0441      
4.7042e-5    1.8477       1.8476       2.3128       -0.0447      
4.7063e-5    1.8348       1.8347       2.3005       -0.0449      
4.7094e-5    1.8155       1.8153       2.2819       -0.0450      
4.7113e-5    1.8034       1.8033       2.2702       -0.0449      
4.7153e-5    1.7792       1.7791       2.2466       -0.0445      
4.7192e-5    1.7550       1.7549       2.2228       -0.0437      
4.7231e-5    1.7308       1.7307       2.1990       -0.0428      
4.7280e-5    1.7005       1.7004       2.1690       -0.0414      
4.7329e-5    1.6703       1.6701       2.1389       -0.0398      
4.7390e-5    1.6324       1.6323       2.1012       -0.0378      
4.7451e-5    1.5945       1.5944       2.0634       -0.0357      
4.7527e-5    1.5471       1.5470       2.0160       -0.0331      
4.7604e-5    1.4996       1.4995       1.9685       -0.0306      
4.7699e-5    1.4403       1.4402       1.9091       -0.0277      
4.7795e-5    1.3809       1.3808       1.8496       -0.0249      
4.7938e-5    1.2917       1.2916       1.7603       -0.0213      
4.8081e-5    1.2023       1.2023       1.6709       -0.0182      
4.8296e-5    1.0682       1.0681       1.5366       -0.0144      
4.8511e-5    0.9339       0.9338       1.4022       -0.0113      
4.8726e-5    0.7993       0.7993       1.2676       -0.0089      
4.8941e-5    0.6647       0.6647       1.1329       -0.0071      
4.9156e-5    0.5299       0.5299       0.9981       -0.0056      
4.9371e-5    0.3950       0.3951       0.8632       -0.0044      
4.9505e-5    0.3107       0.3107       0.7788       -0.0038      
4.9639e-5    0.2264       0.2264       0.6945       -0.0033      
4.9908e-5    0.0576       0.0577       0.5257       -0.0024      
5.0176e-5    -0.1111      -0.1110      0.3569       -0.0018      
5.0512e-5    -0.3220      -0.3219      0.1460       -0.0012      
5.0680e-5    -0.4274      -0.4273      0.0406       -9.9078e-4   
5.0806e-5    -0.5064      -0.5063      -0.0384      -8.3893e-4   
5.0963e-5    -0.6052      -0.6050      -0.1371      -6.7174e-4   
5.1121e-5    -0.7038      -0.7037      -0.2358      -5.2575e-4   
5.1435e-5    -0.9010      -0.9008      -0.4330      -2.8389e-4   
5.1750e-5    -1.0978      -1.0976      -0.6298      -9.0437e-5   
5.2065e-5    -1.2941      -1.2939      -0.8262      6.7926e-5    
5.2380e-5    -1.4900      -1.4898      -1.0221      2.0174e-4    
5.2773e-5    -1.7340      -1.7337      -1.2662      3.4460e-4    
5.3167e-5    -1.9769      -1.9766      -1.5092      4.7167e-4    
5.3560e-5    -2.2186      -2.2183      -1.7511      5.8714e-4    
5.3954e-5    -2.4590      -2.4586      -1.9916      6.9525e-4    
5.4200e-5    -2.6085      -2.6081      -2.1411      7.6174e-4    
5.4446e-5    -2.7573      -2.7569      -2.2901      8.2498e-4    
5.4937e-5    -3.0530      -3.0526      -2.5860      9.4426e-4    
5.5429e-5    -3.3458      -3.3453      -2.8790      0.0010       
5.5921e-5    -3.6353      -3.6349      -3.1689      0.0011       
5.6413e-5    -3.9215      -3.9210      -3.4553      0.0013       
5.6905e-5    -4.2038      -4.2033      -3.7380      0.0014       
5.7212e-5    -4.3783      -4.3777      -3.9127      0.0014       
5.7520e-5    -4.5511      -4.5505      -4.0857      0.0015       
5.8134e-5    -4.8916      -4.8910      -4.4268      0.0016       
5.8749e-5    -5.2248      -5.2241      -4.7605      0.0018       
5.9364e-5    -5.5502      -5.5495      -5.0865      0.0019       
5.9979e-5    -5.8673      -5.8666      -5.4044      0.0020       
6.0594e-5    -6.1756      -6.1749      -5.7135      0.0022       
6.1208e-5    -6.4748      -6.4740      -6.0134      0.0023       
6.1593e-5    -6.6569      -6.6561      -6.1961      0.0024       
6.1977e-5    -6.8351      -6.8343      -6.3748      0.0024       
6.2745e-5    -7.1794      -7.1786      -6.7204      0.0026       
6.3514e-5    -7.5071      -7.5062      -7.0494      0.0027       
6.4282e-5    -7.8172      -7.8163      -7.3611      0.0028       
6.5051e-5    -8.1091      -8.1082      -7.6546      0.0030       
6.5819e-5    -8.3821      -8.3811      -7.9295      0.0031       
6.6588e-5    -8.6355      -8.6346      -8.1850      0.0032       
6.7068e-5    -8.7837      -8.7828      -8.3346      0.0033       
6.7549e-5    -8.9240      -8.9230      -8.4763      0.0033       
6.8029e-5    -9.0561      -9.0551      -8.6100      0.0034       
6.8749e-5    -9.2387      -9.2377      -8.7954      0.0034       
6.9110e-5    -9.3230      -9.3220      -8.8811      0.0035       
6.9470e-5    -9.4024      -9.4014      -8.9621      0.0035       
6.9830e-5    -9.4771      -9.4761      -9.0384      0.0035       
7.0190e-5    -9.5469      -9.5459      -9.1100      0.0036       
7.0731e-5    -9.6424      -9.6414      -9.2084      0.0036       
7.1001e-5    -9.6860      -9.6850      -9.2536      0.0036       
7.1271e-5    -9.7268      -9.7258      -9.2961      0.0036       
7.1541e-5    -9.7648      -9.7638      -9.3359      0.0036       
7.1811e-5    -9.8000      -9.7990      -9.3731      0.0036       
7.2014e-5    -9.8245      -9.8235      -9.3992      0.0036       
7.2217e-5    -9.8475      -9.8464      -9.4238      0.0036       
7.2419e-5    -9.8688      -9.8678      -9.4469      0.0036       
7.2622e-5    -9.8886      -9.8875      -9.4685      0.0036       
7.2825e-5    -9.9067      -9.9057      -9.4886      0.0036       
7.2977e-5    -9.9193      -9.9182      -9.5028      0.0036       
7.3128e-5    -9.9309      -9.9299      -9.5161      0.0036       
7.3280e-5    -9.9417      -9.9406      -9.5286      0.0036       
7.3432e-5    -9.9515      -9.9505      -9.5403      0.0035       
7.3584e-5    -9.9604      -9.9594      -9.5512      0.0035       
7.3736e-5    -9.9685      -9.9674      -9.5614      0.0035       
7.3850e-5    -9.9739      -9.9729      -9.5685      0.0035       
7.3964e-5    -9.9788      -9.9778      -9.5751      0.0034       
7.4078e-5    -9.9832      -9.9822      -9.5814      0.0034       
7.4192e-5    -9.9871      -9.9861      -9.5872      0.0034       
7.4306e-5    -9.9905      -9.9894      -9.5927      0.0033       
7.4420e-5    -9.9933      -9.9923      -9.5977      0.0033       
7.4534e-5    -9.9957      -9.9947      -9.6024      0.0033       
7.4648e-5    -9.9975      -9.9965      -9.6067      0.0032       
7.4819e-5    -9.9993      -9.9983      -9.6125      0.0031       
7.4990e-5    -9.9999      -9.9989      -9.6175      0.0030       
7.5076e-5    -9.9998      -9.9988      -9.6197      0.0030       
7.5161e-5    -9.9994      -9.9984      -9.6218      0.0029       
7.5247e-5    -9.9987      -9.9977      -9.6237      0.0029       
7.5332e-5    -9.9978      -9.9967      -9.6255      0.0028       
7.5418e-5    -9.9965      -9.9955      -9.6271      0.0027       
7.5503e-5    -9.9949      -9.9939      -9.6286      0.0026       
7.5589e-5    -9.9931      -9.9921      -9.6299      0.0026       
7.5674e-5    -9.9910      -9.9900      -9.6311      0.0025       
7.5760e-5    -9.9885      -9.9875      -9.6322      0.0024       
7.5845e-5    -9.9858      -9.9848      -9.6332      0.0023       
7.5931e-5    -9.9828      -9.9818      -9.6341      0.0022       
7.6016e-5    -9.9796      -9.9786      -9.6349      0.0021       
7.6102e-5    -9.9760      -9.9750      -9.6356      0.0021       
7.6187e-5    -9.9721      -9.9711      -9.6363      0.0020       
7.6272e-5    -9.9680      -9.9670      -9.6369      0.0019       
7.6358e-5    -9.9635      -9.9625      -9.6374      0.0018       
7.6443e-5    -9.9588      -9.9578      -9.6379      0.0017       
7.6529e-5    -9.9538      -9.9528      -9.6383      0.0016       
7.6614e-5    -9.9485      -9.9475      -9.6387      0.0015       
7.6700e-5    -9.9429      -9.9419      -9.6390      0.0014       
7.6871e-5    -9.9309      -9.9299      -9.6396      0.0012       
7.7042e-5    -9.9177      -9.9167      -9.6401      0.0011       
7.7149e-5    -9.9089      -9.9079      -9.6403      0.0010       
7.7362e-5    -9.8899      -9.8890      -9.6407      8.9528e-4    
7.7576e-5    -9.8692      -9.8682      -9.6409      7.6243e-4    
7.7897e-5    -9.8347      -9.8337      -9.6411      6.0563e-4    
7.8217e-5    -9.7963      -9.7953      -9.6410      4.9263e-4    
7.8538e-5    -9.7538      -9.7529      -9.6406      4.1303e-4    
7.8698e-5    -9.7311      -9.7302      -9.6404      3.8333e-4    
7.8858e-5    -9.7074      -9.7065      -9.6401      3.5873e-4    
7.8979e-5    -9.6890      -9.6881      -9.6398      3.4335e-4    
7.9099e-5    -9.6701      -9.6691      -9.6395      3.3008e-4    
7.9279e-5    -9.6406      -9.6396      -9.6389      3.1388e-4    
7.9369e-5    -9.6254      -9.6244      -9.6386      3.0715e-4    
7.9505e-5    -9.6020      -9.6010      -9.6381      2.9872e-4    
7.9674e-5    -9.5718      -9.5708      -9.6375      2.9035e-4    
7.9885e-5    -9.5325      -9.5316      -9.6365      2.8300e-4    
8.0096e-5    -9.4916      -9.4906      -9.6355      2.7830e-4    
8.0360e-5    -9.4380      -9.4371      -9.6340      2.7556e-4    
8.0625e-5    -9.3819      -9.3809      -9.6323      2.7537e-4    
8.0889e-5    -9.3231      -9.3222      -9.6304      2.7727e-4    
8.1219e-5    -9.2461      -9.2452      -9.6278      2.8161e-4    
8.1549e-5    -9.1651      -9.1642      -9.6248      2.8769e-4    
8.1879e-5    -9.0801      -9.0792      -9.6215      2.9484e-4    
8.2209e-5    -8.9913      -8.9904      -9.6179      3.0283e-4    
8.2416e-5    -8.9338      -8.9329      -9.6154      3.0802e-4    
8.2622e-5    -8.8748      -8.8739      -9.6128      3.1346e-4    
8.3035e-5    -8.7523      -8.7514      -9.6072      3.2450e-4    
8.3448e-5    -8.6239      -8.6231      -9.6010      3.3573e-4    
8.3860e-5    -8.4898      -8.4889      -9.5941      3.4698e-4    
8.4273e-5    -8.3499      -8.3490      -9.5866      3.5814e-4    
8.4686e-5    -8.2044      -8.2036      -9.5785      3.6913e-4    
8.5098e-5    -8.0534      -8.0526      -9.5696      3.7991e-4    
8.5356e-5    -7.9563      -7.9555      -9.5638      3.8647e-4    
8.5614e-5    -7.8571      -7.8562      -9.5576      3.9302e-4    
8.5872e-5    -7.7558      -7.7550      -9.5512      3.9937e-4    
8.6130e-5    -7.6524      -7.6516      -9.5445      4.0569e-4    
8.6388e-5    -7.5471      -7.5463      -9.5376      4.1180e-4    
8.6904e-5    -7.3305      -7.3297      -9.5227      4.2387e-4    
8.7420e-5    -7.1062      -7.1055      -9.5067      4.3513e-4    
8.7936e-5    -6.8745      -6.8737      -9.4894      4.4616e-4    
8.8452e-5    -6.6355      -6.6347      -9.4710      4.5634e-4    
8.8968e-5    -6.3895      -6.3888      -9.4512      4.6626e-4    
8.9484e-5    -6.1369      -6.1362      -9.4302      4.7532e-4    
9.0000e-5    -5.8778      -5.8771      -9.4078      4.8407e-4    
9.0515e-5    -5.6125      -5.6118      -9.3841      4.9196e-4    
9.1031e-5    -5.3413      -5.3406      -9.3591      4.9952e-4    
9.1354e-5    -5.1689      -5.1683      -9.3428      5.0363e-4    
9.1676e-5    -4.9945      -4.9938      -9.3259      5.0796e-4    
9.1999e-5    -4.8179      -4.8173      -9.3085      5.1159e-4    
9.2321e-5    -4.6394      -4.6388      -9.2906      5.1543e-4    
9.2644e-5    -4.4590      -4.4584      -9.2721      5.1859e-4    
9.2966e-5    -4.2768      -4.2762      -9.2530      5.2193e-4    
9.3611e-5    -3.9071      -3.9065      -9.2132      5.2744e-4    
9.4256e-5    -3.5310      -3.5304      -9.1713      5.3193e-4    
9.4901e-5    -3.1491      -3.1486      -9.1270      5.3547e-4    
9.5546e-5    -2.7621      -2.7616      -9.0806      5.3797e-4    
9.6190e-5    -2.3705      -2.3700      -9.0319      5.3950e-4    
9.6835e-5    -1.9750      -1.9745      -8.9809      5.3999e-4    
9.7480e-5    -1.5763      -1.5758      -8.9277      5.3951e-4    
9.8125e-5    -1.1750      -1.1746      -8.8723      5.3799e-4    
9.8770e-5    -0.7717      -0.7713      -8.8146      5.3550e-4    
9.9415e-5    -0.3672      -0.3669      -8.7547      5.3197e-4    
1.0006e-4    0.0378       0.0381       -8.6927      5.2749e-4    
1.0046e-4    0.2910       0.2913       -8.6528      5.2398e-4    
1.0086e-4    0.5440       0.5443       -8.6121      5.2052e-4    
1.0126e-4    0.7967       0.7970       -8.5705      5.1624e-4    
1.0167e-4    1.0488       1.0491       -8.5282      5.1200e-4    
1.0207e-4    1.3003       1.3006       -8.4850      5.0698e-4    
1.0288e-4    1.8006       1.8008       -8.3962      4.9677e-4    
1.0368e-4    2.2963       2.2965       -8.3043      4.8395e-4    
1.0449e-4    2.7861       2.7862       -8.2094      4.7090e-4    
1.0529e-4    3.2688       3.2689       -8.1115      4.5531e-4    
1.0610e-4    3.7430       3.7431       -8.0108      4.3953e-4    
1.0691e-4    4.2077       4.2077       -7.9074      4.2132e-4    
1.0771e-4    4.6616       4.6616       -7.8014      4.0297e-4    
1.0852e-4    5.1035       5.1035       -7.6930      3.8232e-4    
1.0933e-4    5.5323       5.5322       -7.5822      3.6161e-4    
1.0983e-4    5.7932       5.7931       -7.5119      3.4699e-4    
1.1033e-4    6.0483       6.0482       -7.4407      3.3354e-4    
1.1084e-4    6.2973       6.2972       -7.3688      3.1812e-4    
1.1184e-4    6.7762       6.7760       -7.2228      2.8883e-4    
1.1285e-4    7.2279       7.2276       -7.0742      2.5570e-4    
1.1386e-4    7.6506       7.6503       -6.9233      2.2378e-4    
1.1487e-4    8.0427       8.0424       -6.7705      1.8827e-4    
1.1587e-4    8.4026       8.4022       -6.6161      1.5419e-4    
1.1688e-4    8.7288       8.7283       -6.4605      1.1683e-4    
1.1751e-4    8.9150       8.9145       -6.3629      9.4851e-5    
1.1814e-4    9.0872       9.0867       -6.2650      7.0731e-5    
1.1877e-4    9.2452       9.2447       -6.1669      4.8250e-5    
1.1940e-4    9.3887       9.3882       -6.0688      2.3765e-5    
1.2003e-4    9.5176       9.5170       -5.9708      9.5577e-7    
1.2066e-4    9.6315       9.6309       -5.8729      -2.3733e-5   
1.2129e-4    9.7303       9.7297       -5.7753      -4.6715e-5   
1.2192e-4    9.8140       9.8133       -5.6780      -7.1456e-5   
1.2255e-4    9.8822       9.8816       -5.5811      -9.4457e-5   
1.2318e-4    9.9350       9.9343       -5.4848      -1.1909e-4   
1.2381e-4    9.9722       9.9715       -5.3890      -1.4196e-4   
1.2444e-4    9.9939       9.9931       -5.2940      -1.6635e-4   
1.2507e-4    9.9998       9.9991       -5.1998      -1.8893e-4   
1.2570e-4    9.9902       9.9894       -5.1065      -2.1292e-4   
1.2633e-4    9.9648       9.9640       -5.0142      -2.3507e-4   
1.2696e-4    9.9239       9.9231       -4.9229      -2.5851e-4   
1.2759e-4    9.8675       9.8666       -4.8329      -2.8008e-4   
1.2822e-4    9.7956       9.7947       -4.7440      -3.0283e-4   
1.2885e-4    9.7083       9.7074       -4.6565      -3.2367e-4   
1.2948e-4    9.6059       9.6049       -4.5705      -3.4559e-4   
1.3011e-4    9.4884       9.4874       -4.4859      -3.6558e-4   
1.3074e-4    9.3561       9.3551       -4.4029      -3.8653e-4   
1.3137e-4    9.2091       9.2081       -4.3216      -4.0553e-4   
1.3200e-4    9.0477       9.0467       -4.2420      -4.2539e-4   
1.3263e-4    8.8721       8.8711       -4.1642      -4.4326e-4   
1.3326e-4    8.6827       8.6816       -4.0882      -4.6191e-4   
1.3389e-4    8.4796       8.4786       -4.0142      -4.7855e-4   
1.3452e-4    8.2633       8.2622       -3.9423      -4.9587e-4   
1.3546e-4    7.9147       7.9136       -3.8382      -5.1907e-4   
1.3593e-4    7.7298       7.7287       -3.7880      -5.3040e-4   
1.3641e-4    7.5382       7.5371       -3.7389      -5.4111e-4   
1.3688e-4    7.3399       7.3388       -3.6912      -5.5158e-4   
